country_code,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124070003,1.0,1.0,1.0,1.0,7.0,5.0,8.0,A religious person,10.0,Female,1944.0,76.0,Separated,Retired/pensioned
CAN,124070004,1.0,1.0,2.0,1.0,5.0,8.0,2.0,A religious person,5.0,Male,1951.0,69.0,Married,Retired/pensioned
CAN,124070005,2.0,2.0,2.0,2.0,8.0,9.0,8.0,An atheist,2.0,Female,1984.0,35.0,Living together as married,Part time
CAN,124070006,1.0,2.0,2.0,2.0,4.0,7.0,8.0,A religious person,8.0,Male,1975.0,45.0,Married,Full time
CAN,124070008,1.0,2.0,2.0,2.0,7.0,1.0,9.0,Not a religious person,6.0,Male,1988.0,32.0,Divorced,Full time
CAN,124070009,1.0,2.0,2.0,1.0,6.0,7.0,8.0,An atheist,6.0,Male,1982.0,38.0,Married,Full time
CAN,124070010,1.0,1.0,1.0,1.0,9.0,9.0,9.0,An atheist,7.0,Male,1981.0,38.0,Married,Self employed
CAN,124070011,1.0,2.0,2.0,2.0,7.0,6.0,5.0,A religious person,5.0,Female,1985.0,34.0,Married,Unemployed
CAN,124070012,1.0,1.0,1.0,1.0,8.0,7.0,6.0,Not a religious person,6.0,Male,1955.0,65.0,Widowed,Self employed
CAN,124070013,1.0,3.0,2.0,2.0,6.0,6.0,9.0,A religious person,4.0,Male,1989.0,31.0,Single,Full time
CAN,124070014,1.0,1.0,1.0,1.0,8.0,7.0,5.0,Not a religious person,5.0,Female,1993.0,27.0,Single,Full time
CAN,124070015,1.0,2.0,1.0,2.0,10.0,10.0,7.0,Not a religious person,4.0,Male,1987.0,33.0,Married,Full time
CAN,124070016,1.0,1.0,2.0,4.0,8.0,8.0,9.0,An atheist,1.0,Male,1954.0,66.0,Widowed,Retired/pensioned
CAN,124070017,1.0,1.0,2.0,1.0,9.0,10.0,9.0,Not a religious person,7.0,Female,1970.0,50.0,Married,Homemaker not otherwise employed
CAN,124070018,1.0,1.0,1.0,3.0,7.0,6.0,7.0,Not a religious person,2.0,Female,1999.0,20.0,Single,Student
CAN,124070019,2.0,3.0,2.0,3.0,6.0,7.0,8.0,A religious person,8.0,Male,1986.0,34.0,Living together as married,Self employed
CAN,124070020,1.0,2.0,2.0,4.0,9.0,9.0,9.0,A religious person,6.0,Female,1946.0,74.0,Married,Retired/pensioned
